thk,kgm,h,b,profileCode,code,localIndex
19.1,43.20772104,152,152,EA,ASTM,129
22.2,49.67404279,152,152,EA,ASTM,130
25.4,56.18887962,152,152,EA,ASTM,131
12.7,39.660959,203,203,EA,ASTM,132
14.3,44.47594176,203,203,EA,ASTM,133
15.9,49.25027031,203,203,EA,ASTM,134
19.1,58.67696479,203,203,EA,ASTM,135
22.2,67.6540015,203,203,EA,ASTM,136
25.4,76.76054409,203,203,EA,ASTM,137
28.6,85.70446985,203,203,EA,ASTM,138
22.2,85.63396021,254,254,EA,ASTM,139
25.4,97.33220856,254,254,EA,ASTM,140
28.7,109.2257083,254,254,EA,ASTM,141
31.8,120.2408548,254,254,EA,ASTM,142
35.1,131.7989573,254,254,EA,ASTM,143
19.1,74.14620855,254,254,EA,ASTM,144
25.4,117.903873,305,305,EA,ASTM,145
28.7,132.4700693,305,305,EA,ASTM,146
31.8,145.9959308,305,305,EA,ASTM,147
35.1,160.2267298,305,305,EA,ASTM,148
3,1.119578775,25,25,EA,JIS G 3192,149
3,1.357787025,30,30,EA,JIS G 3192,150
3,1.834203525,40,40,EA,JIS G 3192,151
5,2.977603125,40,40,EA,JIS G 3192,152
4,2.7314546,45,45,EA,JIS G 3192,153
5,3.374616875,45,45,EA,JIS G 3192,154
4,3.0490656,50,50,EA,JIS G 3192,155
5,3.771630625,50,50,EA,JIS G 3192,156
6,4.4783151,50,50,EA,JIS G 3192,157
4,3.6842876,60,60,EA,JIS G 3192,158
5,4.565658125,60,60,EA,JIS G 3192,159
5,4.962671875,65,65,EA,JIS G 3192,160
6,5.9075646,65,65,EA,JIS G 3192,161
8,7.7497084,65,65,EA,JIS G 3192,162
6,6.3839811,70,70,EA,JIS G 3192,163
6,6.8603976,75,75,EA,JIS G 3192,164
9,10.07620898,75,75,EA,JIS G 3192,165
12,13.1490954,75,75,EA,JIS G 3192,166
6,7.3368141,80,80,EA,JIS G 3192,167
6,8.2896471,90,90,EA,JIS G 3192,168
7,9.615673025,90,90,EA,JIS G 3192,169
10,13.4984675,90,90,EA,JIS G 3192,170
13,17.23833703,90,90,EA,JIS G 3192,171
7,10.72731153,100,100,EA,JIS G 3192,172
10,15.0865225,100,100,EA,JIS G 3192,173
13,19.30280853,100,100,EA,JIS G 3192,174
8,14.7371504,120,120,EA,JIS G 3192,175
9,17.93708123,130,130,EA,JIS G 3192,176
12,23.6302584,130,130,EA,JIS G 3192,177
15,29.18051063,130,130,EA,JIS G 3192,178
12,27.4415904,150,150,EA,JIS G 3192,179
15,33.94467563,150,150,EA,JIS G 3192,180
19,42.39312823,150,150,EA,JIS G 3192,181
12,32.2057554,175,175,EA,JIS G 3192,182
15,39.89988188,175,175,EA,JIS G 3192,183
15,45.85508813,200,200,EA,JIS G 3192,184
20,60.34609,200,200,EA,JIS G 3192,185
25,74.44007813,200,200,EA,JIS G 3192,186
25,94.29076563,250,250,EA,JIS G 3192,187
35,129.2279756,250,250,EA,JIS G 3192,188
3,1.119578775,25,25,EA,AS 3679.2,189
5,1.786561875,25,25,EA,AS 3679.2,190
6,2.0962326,25,25,EA,AS 3679.2,191
3,1.357787025,30,30,EA,AS 3679.2,192
5,2.183575625,30,30,EA,AS 3679.2,193
6,2.5726491,30,30,EA,AS 3679.2,194
3,1.834203525,40,40,EA,AS 3679.2,195
5,2.977603125,40,40,EA,AS 3679.2,196
6,3.5254821,40,40,EA,AS 3679.2,197
3,2.072411775,45,45,EA,AS 3679.2,198
5,3.374616875,45,45,EA,AS 3679.2,199
6,4.0018986,45,45,EA,AS 3679.2,200
3,2.310620025,50,50,EA,AS 3679.2,201
5,3.771630625,50,50,EA,AS 3679.2,202
6,4.4783151,50,50,EA,AS 3679.2,203
8,5.8440424,50,50,EA,AS 3679.2,204
5,4.168644375,55,55,EA,AS 3679.2,205
6,4.9547316,55,55,EA,AS 3679.2,206
5,4.962671875,65,65,EA,AS 3679.2,207
6,5.9075646,65,65,EA,AS 3679.2,208
8,7.7497084,65,65,EA,AS 3679.2,209
10,9.52833,65,65,EA,AS 3679.2,210
10,11.116385,75,75,EA,AS 3679.2,211
8,9.0201524,75,75,EA,AS 3679.2,212
6,6.8603976,75,75,EA,AS 3679.2,213
5,5.756699375,75,75,EA,AS 3679.2,214
6,6.8603976,75,75,EA,AS 3679.2,215
8,9.0201524,75,75,EA,AS 3679.2,216
10,11.116385,75,75,EA,AS 3679.2,217
6,8.2896471,90,90,EA,AS 3679.2,218
8,10.9258184,90,90,EA,AS 3679.2,219
10,13.4984675,90,90,EA,AS 3679.2,220
12,16.0075944,90,90,EA,AS 3679.2,221
8,12.1962624,100,100,EA,AS 3679.2,222
10,15.0865225,100,100,EA,AS 3679.2,223
12,17.9132604,100,100,EA,AS 3679.2,224
16,23.3761696,100,100,EA,AS 3679.2,225
10,19.05666,125,125,EA,AS 3679.2,226
12,22.6774254,125,125,EA,AS 3679.2,227
16,29.7283896,125,125,EA,AS 3679.2,228
19,34.84986698,125,125,EA,AS 3679.2,229
13,29.62516603,150,150,EA,AS 3679.2,230
16,36.0806096,150,150,EA,AS 3679.2,231
18,40.3048359,150,150,EA,AS 3679.2,232
26,56.5665191,150,150,EA,AS 3679.2,233
4,1.9374271,40,25,UA,EN 10056,0
5,2.3820825,40,25,UA,EN 10056,1
5,3.374616875,50,40,UA,EN 10056,2
6,4.0018986,50,40,UA,EN 10056,3
5,3.374616875,60,30,UA,EN 10056,4
6,4.0018986,60,30,UA,EN 10056,5
5,4.36715125,65,50,UA,EN 10056,6
6,5.19293985,65,50,UA,EN 10056,7
8,6.7968754,65,50,UA,EN 10056,8
6,5.66935635,75,50,UA,EN 10056,9
8,7.4320974,75,50,UA,EN 10056,10
10,9.13131625,75,50,UA,EN 10056,11
6,6.3839811,80,60,UA,EN 10056,12
7,7.392396025,80,60,UA,EN 10056,13
8,8.3849304,80,60,UA,EN 10056,14
6,6.8603976,100,50,UA,EN 10056,15
8,9.0201524,100,50,UA,EN 10056,16
10,11.116385,100,50,UA,EN 10056,17
7,8.78194415,100,65,UA,EN 10056,18
8,9.9729854,100,65,UA,EN 10056,19
10,12.30742625,100,65,UA,EN 10056,20
8,10.6082074,100,75,UA,EN 10056,21
10,13.10145375,100,75,UA,EN 10056,22
12,15.5311779,100,75,UA,EN 10056,23
8,12.1962624,125,75,UA,EN 10056,24
10,15.0865225,125,75,UA,EN 10056,25
12,17.9132604,125,75,UA,EN 10056,26
10,17.07159125,150,75,UA,EN 10056,27
12,20.2953429,150,75,UA,EN 10056,28
15,25.01186625,150,75,UA,EN 10056,29
10,18.2626325,150,90,UA,EN 10056,30
12,21.7245924,150,90,UA,EN 10056,31
15,26.79842813,150,90,UA,EN 10056,32
10,23.0267975,200,100,UA,EN 10056,33
12,27.4415904,200,100,UA,EN 10056,34
15,33.94467563,200,100,UA,EN 10056,35
12,32.2057554,200,150,UA,EN 10056,36
15,39.89988188,200,150,UA,EN 10056,37
